match_id,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5,blue_team_won
EUW1_6847956257,Darius,Fiora,Smolder,Udyr,Zyra,Aatrox,Hecarim,Kassadin,Senna,Zilean,1
EUW1_7185437818,Akali,Ashe,Darius,Kindred,Nami,Caitlyn,Lulu,Swain,Teemo,Vi,0
EUW1_7188432093,Brand,Caitlyn,Garen,Irelia,Morgana,Corki,Gnar,Kindred,Lissandra,Nautilus,0
EUW1_7188484301,Corki,Galio,Nautilus,Sett,Skarner,JarvanIV,KogMaw,Maokai,Pyke,Syndra,0
EUW1_7188537539,Ezreal,Lux,Malphite,Viego,Xerath,Caitlyn,Evelynn,Nautilus,Swain,TwistedFate,1
EUW1_7188574191,Caitlyn,Galio,KSante,Karma,Rammus,Camille,Corki,Nautilus,Sylas,Vi,1
EUW1_7188647980,Fiora,Smolder,Thresh,Viego,Vladimir,Ambessa,Ezreal,Leblanc,MonkeyKing,Senna,1
EUW1_7188705474,Amumu,DrMundo,Jayce,Jhin,Poppy,Ambessa,Corki,Karma,MonkeyKing,Senna,0
EUW1_7188820948,Caitlyn,Mordekaiser,Nautilus,Sylas,Viego,Corki,Elise,Jayce,Leblanc,Taric,0
EUW1_7188877537,Chogath,Kalista,Karma,MonkeyKing,Nautilus,Ahri,Ashe,Nocturne,Ornn,Rell,0
EUW1_7188940107,Corki,Galio,Nautilus,Nocturne,TahmKench,Ahri,Caitlyn,Chogath,Nami,Vi,1
EUW1_7189006290,Corki,Lissandra,Nautilus,TahmKench,Viego,Caitlyn,Karma,Sion,Skarner,Ziggs,1
EUW1_7189084306,Caitlyn,Galio,Nautilus,Nocturne,TahmKench,Aatrox,Janna,Kaisa,Khazix,Veigar,1
EUW1_7189151938,Caitlyn,Milio,Shaco,Shen,Veigar,Corki,MasterYi,Senna,Syndra,Volibear,0
EUW1_7189204348,Renekton,Smolder,Teemo,TwistedFate,Xerath,Chogath,Kayle,Lulu,Nunu,Zeri,0
EUW1_7213234513,Aatrox,Corki,Galio,Talon,Vex,Jhin,Karma,Riven,Ryze,Shaco,0
EUW1_7213288073,Ahri,Chogath,Kaisa,Kayn,Senna,Aurora,Illaoi,Neeko,Nocturne,Seraphine,1
EUW1_7214989125,Darius,Jhin,Malzahar,Pyke,Skarner,Ahri,Corki,Maokai,Nautilus,Shyvana,0
